                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3571,                 1.5956,                 0.8511,                 0.6434,                0.39905,                0.39178,                0.20974,                 1.2576,                 1.1051,                0.82862,             0.00040598,             0.00040598,             0.00040598
                      2,                   1.21,                0.71624,                0.81388,                0.78936,                0.56184,                0.63014,                 0.3777,                 1.0974,                0.63885,                0.81373,             0.00081451,             0.00081451,             0.00081451
                      3,                 1.2381,                 0.6759,                0.81973,                0.53344,                0.46756,                0.51215,                 0.3038,                 1.1716,                0.71181,                0.82064,              0.0012148,              0.0012148,              0.0012148
                      4,                 1.2686,                0.69024,                0.81777,                0.83474,                 0.6492,                 0.6928,                0.42703,                 1.1179,                0.60698,                0.81451,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.1819,                0.62311,                0.81226,                0.77819,                0.60702,                 0.6628,                0.38517,                 1.0915,                0.56885,                0.81122,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.1132,                0.59472,                0.80716,                0.77844,                0.63498,                0.70665,                0.45694,                0.98409,                0.52987,                 0.8087,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.0885,                0.57114,                0.80605,                0.84261,                0.61382,                0.69408,                0.39911,                 1.0878,                 0.5389,                0.81126,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1134,                0.55596,                0.80347,                0.85961,                0.69823,                0.77031,                0.46912,                0.98041,                0.49104,                0.80184,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.0338,                0.52143,                0.80005,                0.85271,                0.63648,                0.71955,                0.44126,                 1.0187,                 0.5085,                0.80642,               0.001151,               0.001151,               0.001151
                     10,                  1.095,                0.53949,                0.79995,                0.84424,                0.64993,                0.71268,                0.42247,                 1.1394,                0.54546,                 0.8113,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.0507,                0.55172,                0.79904,                0.79165,                0.69057,                0.72555,                0.44866,                0.97453,                0.53314,                0.80431,              0.0011263,              0.0011263,              0.0011263
                     12,                  1.011,                0.51955,                0.79661,                0.86453,                0.66173,                 0.7286,                0.44334,                 0.9478,                0.49108,                0.80333,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1012,                0.55163,                0.79874,                0.84285,                0.68822,                0.73843,                0.44808,                 1.0586,                0.53147,                0.81006,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.0546,                0.52161,                0.80002,                  0.874,                 0.7162,                0.78066,                0.49352,                0.93612,                 0.4778,                 0.8019,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.0241,                0.51223,                0.79496,                0.88992,                0.64989,                0.75773,                0.45838,                0.93089,                0.49277,                0.80443,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.0227,                0.49787,                0.79423,                0.81837,                0.72339,                 0.7604,                0.47185,                 0.9793,                0.46836,                0.80244,              0.0010644,              0.0010644,              0.0010644
                     17,                0.98311,                0.47717,                0.79688,                0.87274,                0.68255,                0.76531,                 0.4749,                0.92063,                0.44701,                0.80183,               0.001052,               0.001052,               0.001052
                     18,                 0.9974,                0.49057,                 0.7937,                0.83875,                0.72165,                0.76469,                0.49427,                0.90172,                0.46496,                0.79878,              0.0010396,              0.0010396,              0.0010396
                     19,                0.96108,                0.47521,                  0.793,                0.90168,                0.67116,                0.75026,                0.48405,                0.87559,                0.44739,                0.79858,              0.0010273,              0.0010273,              0.0010273
                     20,                0.94139,                0.46025,                0.79215,                0.87794,                0.73236,                0.78344,                 0.4989,                0.92027,                0.45668,                0.79625,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0117,                0.48209,                0.79261,                 0.9197,                0.65776,                  0.742,                0.47944,                0.92917,                   0.49,                0.80009,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0129,                0.48149,                 0.7951,                 0.8831,                0.69397,                0.75754,                0.46111,                0.96551,                0.46057,                0.80327,             0.00099013,             0.00099013,             0.00099013
                     23,                0.98025,                0.46847,                0.79377,                0.88856,                0.72279,                0.77632,                0.47185,                 1.0178,                0.47017,                0.80656,             0.00097775,             0.00097775,             0.00097775
                     24,                0.95601,                 0.4623,                0.79419,                0.88018,                0.67133,                0.75983,                0.49163,                0.90235,                0.43641,                0.79972,             0.00096537,             0.00096537,             0.00096537
                     25,                0.93552,                0.45213,                0.78858,                0.88194,                0.66866,                0.74611,                0.50253,                0.91646,                0.44935,                 0.8011,               0.000953,               0.000953,               0.000953
                     26,                0.93136,                0.44873,                0.78993,                0.86329,                0.74077,                 0.7738,                0.51833,                0.87332,                0.42906,                0.79625,             0.00094062,             0.00094062,             0.00094062
                     27,                0.92466,                0.44313,                0.78935,                0.89068,                0.75488,                0.80033,                0.51724,                0.88749,                0.42317,                0.79526,             0.00092825,             0.00092825,             0.00092825
                     28,                0.98918,                0.45757,                0.79075,                 0.9242,                0.67487,                0.78343,                0.48856,                 0.9701,                0.46903,                0.79834,             0.00091588,             0.00091588,             0.00091588
                     29,                0.96702,                0.45016,                 0.7927,                 0.8982,                0.73556,                0.78205,                0.51597,                0.95278,                0.44675,                0.80679,              0.0009035,              0.0009035,              0.0009035
                     30,                0.92693,                0.43483,                0.78683,                0.90166,                  0.729,                0.78532,                0.52026,                0.88772,                0.43553,                0.80037,             0.00089112,             0.00089112,             0.00089112
                     31,                 0.9046,                0.42562,                0.78979,                0.83778,                0.75641,                0.77697,                0.52501,                0.84463,                0.40832,                0.79294,             0.00087875,             0.00087875,             0.00087875
                     32,                0.88036,                0.41849,                 0.7873,                 0.8868,                0.70853,                0.78309,                0.53177,                0.82559,                 0.4171,                0.79427,             0.00086637,             0.00086637,             0.00086637
                     33,                0.92208,                0.43723,                0.78893,                0.89488,                0.72493,                0.77566,                0.51796,                0.85049,                0.40946,                 0.7945,               0.000854,               0.000854,               0.000854
                     34,                0.90319,                0.43351,                0.78631,                 0.8724,                0.75395,                0.78676,                0.51983,                0.83522,                0.45416,                0.79386,             0.00084162,             0.00084162,             0.00084162
                     35,                0.89345,                0.42814,                0.78828,                0.89237,                0.72994,                0.78596,                0.53236,                0.83252,                0.41575,                0.79648,             0.00082925,             0.00082925,             0.00082925
                     36,                0.87718,                0.42152,                0.78531,                0.84417,                0.74066,                0.76649,                0.52155,                0.82123,                0.41641,                0.79331,             0.00081688,             0.00081688,             0.00081688
                     37,                0.88961,                0.43005,                0.78847,                0.93953,                0.71695,                0.79435,                0.54052,                0.83237,                0.40255,                0.79367,              0.0008045,              0.0008045,              0.0008045
                     38,                0.87885,                0.42352,                0.78707,                0.95458,                0.68667,                0.78813,                0.52498,                0.83134,                0.40455,                 0.7946,             0.00079213,             0.00079213,             0.00079213
                     39,                0.85588,                0.41204,                0.78561,                0.91451,                0.76251,                0.80713,                0.54301,                 0.8454,                0.40681,                0.79464,             0.00077975,             0.00077975,             0.00077975
                     40,                0.89738,                0.42445,                0.78582,                0.91872,                 0.7456,                 0.7916,                0.54595,                0.82805,                 0.4016,                0.79323,             0.00076738,             0.00076738,             0.00076738
                     41,                0.87265,                0.41492,                 0.7864,                  0.933,                0.75027,                0.81299,                0.53837,                0.85409,                0.40771,                0.79662,               0.000755,               0.000755,               0.000755
                     42,                0.88626,                0.42052,                0.78441,                 0.9578,                0.69534,                0.80353,                0.53745,                0.84902,                0.41647,                0.79552,             0.00074263,             0.00074263,             0.00074263
                     43,                0.87559,                0.41322,                0.78463,                0.88831,                0.76121,                0.79703,                  0.527,                0.82396,                0.40461,                0.79375,             0.00073025,             0.00073025,             0.00073025
                     44,                0.86304,                0.40757,                0.78204,                0.90123,                0.71413,                0.77625,                0.51771,                0.89107,                 0.4326,                0.79866,             0.00071788,             0.00071788,             0.00071788
                     45,                0.87252,                0.41071,                0.78494,                0.86084,                 0.7403,                0.79378,                0.52826,                0.86974,                0.40789,                0.79732,              0.0007055,              0.0007055,              0.0007055
                     46,                0.87632,                0.41279,                0.78555,                0.92668,                0.71787,                0.79183,                 0.5413,                 0.8435,                0.40754,                0.79468,             0.00069313,             0.00069313,             0.00069313
                     47,                0.86923,                0.40749,                0.78328,                0.86757,                0.71816,                0.79442,                0.54187,                0.79881,                 0.3955,                0.79156,             0.00068075,             0.00068075,             0.00068075
                     48,                0.83577,                0.39185,                0.78391,                0.90747,                0.73699,                0.79683,                0.54321,                0.85676,                0.40815,                0.79707,             0.00066838,             0.00066838,             0.00066838
                     49,                0.86139,                0.40587,                0.78311,                0.95929,                0.75169,                0.81344,                0.56368,                0.82352,                0.39692,                0.79334,               0.000656,               0.000656,               0.000656
                     50,                0.85702,                0.40105,                0.78325,                0.87396,                0.75246,                 0.7949,                 0.5426,                 0.8606,                 0.4051,                0.79384,             0.00064362,             0.00064362,             0.00064362
                     51,                0.84058,                0.39467,                0.78575,                0.92681,                0.74457,                0.80987,                  0.564,                0.82152,                0.39108,                0.79457,             0.00063125,             0.00063125,             0.00063125
                     52,                0.83938,                0.40154,                0.78485,                0.85028,                0.73187,                0.79199,                0.54723,                0.79088,                0.39092,                0.79212,             0.00061887,             0.00061887,             0.00061887
                     53,                0.83429,                 0.3971,                0.78554,                0.86735,                  0.707,                0.78552,                0.52651,                0.83175,                0.40303,                0.79393,              0.0006065,              0.0006065,              0.0006065
                     54,                0.84431,                0.39569,                0.78282,                 0.9351,                0.76233,                0.81513,                0.55571,                0.81773,                0.39085,                0.79279,             0.00059413,             0.00059413,             0.00059413
                     55,                0.82117,                0.38667,                0.78294,                 0.8724,                0.75273,                  0.791,                0.54357,                0.81855,                0.39537,                0.79366,             0.00058175,             0.00058175,             0.00058175
